rank,O score,matrix,c1,m1,c2,m2
57,2.015286279057968,"         114      128
366 7.01E+01 1.00E+02
401 8.64E+01 9.66E+01",114,401,128,366
58,2.015273860325569,"         114      128
261 7.36E+01 1.04E+02
390 8.63E+01 9.48E+01",114,390,128,261
59,2.0152577550993516,"         104      114
305 8.65E+01 8.04E+01
366 9.65E+01 7.01E+01",104,366,114,305
60,2.015224213448062,"         101      114
261 9.87E+01 7.36E+01
384 9.14E+01 8.73E+01",101,261,114,384
61,2.0151715979270013,"         114      128
363 7.00E+01 1.01E+02
391 8.49E+01 9.57E+01",114,391,128,363
62,2.01512348265968,"         114      128
261 7.36E+01 1.04E+02
305 8.04E+01 8.85E+01",114,305,128,261
63,2.0151101455914433,"         114      128
371 7.13E+01 9.94E+01
384 8.73E+01 9.51E+01",114,384,128,371
64,2.0150976905327846,"         114      128
363 7.00E+01 1.01E+02
394 8.28E+01 9.35E+01",114,394,128,363
65,2.015020723599499,"         114      128
363 7.00E+01 1.01E+02
387 8.34E+01 9.43E+01",114,387,128,363
66,2.0150140723643246,"         114      128
261 7.36E+01 1.04E+02
297 8.36E+01 9.21E+01",114,297,128,261
67,2.015000276056032,"         104      114
261 1.02E+02 7.36E+01
297 9.08E+01 8.36E+01",104,261,114,297
68,2.014933821850426,"         101      114
261 9.87E+01 7.36E+01
398 9.02E+01 8.59E+01",101,261,114,398
69,2.014933497983218,"         114       79
363 7.00E+01 1.09E+02
397 8.46E+01 1.03E+02",114,397,79,363
70,2.014914776973957,"         114       NP
353 8.31E+01 9.63E+01
366 7.01E+01 1.04E+02",114,353,NP,366
71,2.014898170171803,"         114       86
366 7.01E+01 1.04E+02
381 8.73E+01 1.02E+02",114,381,86,366
72,2.0148881583465132,"         114       79
305 8.04E+01 9.78E+01
363 7.00E+01 1.09E+02",114,305,79,363
73,2.014840846016966,"         114       86
373 7.17E+01 1.07E+02
381 8.73E+01 1.02E+02",114,381,86,373
74,2.0148191846985983,"         114       99
363 7.00E+01 1.01E+02
385 8.32E+01 9.44E+01",114,385,99,363
